"","row_id","timestamp","Anon.Student.Id","content_id","content_type_id","task_container_id","user_answer","answered_correctly","prior_question_elapsed_time","prior_question_had_explanation"
"270968",270967,0,5223772,6249,0,0,1,0,NA,""
"270969",270968,36552,5223772,9305,0,1,3,1,30000,"False"
"270970",270969,64680,5223772,4569,0,2,1,1,33000,"False"
"270971",270970,88349,5223772,295,0,3,3,1,25000,"False"
"270972",270971,113420,5223772,7956,0,4,0,1,20000,"False"
"270973",270972,153952,5223772,217,0,5,0,1,22000,"False"
"270974",270973,179750,5223772,4959,0,6,2,0,38000,"False"
"270975",270974,217574,5223772,5050,0,7,3,0,23000,"False"
"270976",270975,270317,5223772,3684,0,8,3,0,35000,"False"
"270977",270976,315859,5223772,5018,0,9,2,1,49000,"False"
"270978",270977,1560936,5223772,6118,0,10,1,1,42000,"False"
"270979",270978,1996909,5223772,4039,0,11,2,1,50000,"True"
"270980",270979,2580453,5223772,6152,0,12,2,0,24000,"True"
"270981",270980,3207342,5223772,11446,0,13,1,0,50000,"True"
"270982",270981,3296486,5223772,5203,0,14,1,1,42000,"True"
"270983",270982,5670351,5223772,6449,0,15,1,0,29000,"True"
"270984",270983,8008521,5223772,3789,0,16,2,1,51000,"True"
"270985",270984,8184737,5223772,9114,0,17,2,0,16000,"True"
"270986",270985,8446139,5223772,5681,0,18,0,1,25000,"True"
"270987",270986,8482734,5223772,6257,0,19,2,0,106000,"True"
"270988",270987,8566534,5223772,734,0,20,0,1,23000,"True"
"270989",270988,8595554,5223772,622,0,21,1,1,17000,"True"
"270990",270989,8620777,5223772,1234,0,22,1,1,18000,"True"
"270991",270990,8645551,5223772,10685,0,23,0,1,18000,"True"
"270992",270991,8699883,5223772,821,0,24,1,0,17000,"True"
"270993",270992,8736768,5223772,372,0,25,0,1,39000,"True"
"270994",270993,8772823,5223772,494,0,26,3,1,17000,"True"
"270995",270994,8818614,5223772,294,0,27,3,1,24000,"True"
"270996",270995,8850811,5223772,416,0,28,1,1,32000,"True"
"270997",270996,8896305,5223772,947,0,29,1,1,17000,"True"
"270998",270997,9864462,5223772,6668,0,30,3,1,37000,"False"
"270999",270998,9919837,5223772,11500,0,31,3,0,27000,"True"
"271000",270999,9983943,5223772,5347,0,32,2,1,38000,"True"
"271001",271000,10050752,5223772,6425,0,33,1,0,44000,"True"
"271002",271001,49630125,5223772,6268,0,34,0,1,61000,"False"
"271003",271002,49654764,5223772,9231,0,35,1,1,63000,"True"
"271004",271003,49803181,5223772,4736,0,36,2,0,15000,"True"
"271005",271004,49934715,5223772,3944,0,37,0,1,61000,"True"
"271006",271005,49977043,5223772,4464,0,38,0,1,45000,"True"
"271007",271006,50192396,5223772,11301,0,39,3,0,32000,"True"
"271008",271007,50388029,5223772,4791,0,40,1,1,40000,"True"
"271009",271008,50559786,5223772,3717,0,41,2,0,19000,"True"
"271010",271009,54097782,5223772,4045,0,42,1,0,24000,"True"
"271011",271010,57025565,5223772,9862,0,43,3,1,32000,"True"
"271012",271011,57082122,5223772,5676,0,44,2,1,20000,"True"
